,status,distance,duration,geometry,type
29,Ok,3594.7,899.1,"[[-73.976515, 40.759882], [-73.976289, 40.759787], [-73.976744, 40.759165], [-73.988405, 40.764077], [-73.995718, 40.754016], [-73.997264, 40.752123], [-73.997716, 40.7515], [-73.997679, 40.751344], [-74.001947, 40.745487]]",LineString
30,Ok,1471.1,461.6,"[[-73.994176, 40.715803], [-73.994271, 40.715609], [-73.994286, 40.715697], [-73.994816, 40.715937], [-73.994753, 40.716208], [-73.99436, 40.716946], [-73.999429, 40.718672], [-73.999234, 40.718913], [-74.002221, 40.720341], [-74.002589, 40.719916], [-74.005916, 40.72228], [-74.005743, 40.722478]]",LineString
31,Ok,1828.7,497.6,"[[-74.004821, 40.735313], [-74.00334, 40.735531], [-74.003866, 40.737544], [-74.003858, 40.73839], [-74.003211, 40.739055], [-74.00289, 40.739201], [-73.999425, 40.74401], [-74.005107, 40.746395], [-74.004653, 40.747023], [-74.004493, 40.746956]]",LineString
32,Ok,2212.2,583.2,"[[-73.988839, 40.777497], [-73.989902, 40.775862], [-73.991423, 40.774517], [-73.990261, 40.773992], [-73.990561, 40.773306], [-73.991109, 40.772687], [-73.991809, 40.772191], [-73.993662, 40.772935], [-73.994717, 40.771394], [-73.994979, 40.769914], [-73.998899, 40.764493], [-73.996643, 40.763457]]",LineString
33,Ok,689.4,230.1,"[[-73.972066, 40.763066], [-73.971859, 40.762978], [-73.970042, 40.765466], [-73.966813, 40.764105], [-73.966574, 40.764435]]",LineString
34,Ok,5284.8,1354,"[[-74.011215, 40.714867], [-74.013686, 40.715309], [-74.011312, 40.725879], [-74.010251, 40.739033], [-74.00793, 40.748219], [-74.008582, 40.750682], [-74.007201, 40.754269], [-74.005236, 40.756998], [-74.002172, 40.755866]]",LineString
35,Ok,2019.7,571,"[[-73.987162, 40.72839], [-73.987593, 40.728573], [-73.990799, 40.724182], [-73.990907, 40.723772], [-73.993298, 40.719052], [-73.994265, 40.719356], [-73.994508, 40.71956], [-73.997349, 40.720705], [-73.998017, 40.719656], [-73.998162, 40.71954], [-73.998395, 40.718987], [-73.998755, 40.718442], [-73.999429, 40.718672], [-73.999234, 40.718913], [-73.999711, 40.719133]]",LineString
36,Ok,2305.2,775.8,"[[-73.989781, 40.69992], [-73.989743, 40.700563], [-73.9906, 40.701093], [-74.004431, 40.712111], [-74.004512, 40.712644], [-74.003626, 40.71365], [-74.002666, 40.714243], [-74.00227, 40.715141], [-74.00237, 40.714956]]",LineString
37,Ok,5997.8,1528.7,"[[-74.011215, 40.714867], [-74.013686, 40.715309], [-74.011312, 40.725879], [-74.010251, 40.739033], [-74.00793, 40.748219], [-74.008582, 40.750682], [-74.007201, 40.754269], [-74.001448, 40.762121], [-73.998465, 40.760885], [-73.99888, 40.760316]]",LineString
38,Ok,3219.2,889.5,"[[-73.981979, 40.765275], [-73.982767, 40.76333], [-73.984802, 40.76005], [-73.985069, 40.759395], [-73.98463, 40.75921], [-73.986949, 40.756036], [-73.986417, 40.755814], [-73.987523, 40.752184], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.989159, 40.743042], [-73.988648, 40.742817], [-73.989137, 40.741364], [-73.987984, 40.740884], [-73.987513, 40.741537], [-73.986053, 40.740922]]",LineString
39,Ok,1727.7,463.1,"[[-74.003686, 40.74352], [-73.997862, 40.741056], [-74.001095, 40.736564], [-73.999769, 40.734339], [-73.999493, 40.733599], [-73.997987, 40.732946], [-73.998527, 40.732257]]",LineString
40,Ok,3809,1059.3,"[[-73.976515, 40.759882], [-73.976289, 40.759787], [-73.976744, 40.759165], [-73.983562, 40.762037], [-73.985069, 40.759395], [-73.98463, 40.75921], [-73.986949, 40.756036], [-73.986417, 40.755814], [-73.987523, 40.752184], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.989159, 40.743042], [-73.988648, 40.742817], [-73.992654, 40.73733], [-73.992414, 40.737229]]",LineString
41,Ok,3012,823.9,"[[-74.007275, 40.707098], [-74.008893, 40.709044], [-74.007384, 40.710576], [-74.005847, 40.711688], [-74.006088, 40.712027], [-74.004845, 40.712476], [-74.004577, 40.712425], [-74.004059, 40.713135], [-74.013153, 40.717315], [-74.011438, 40.725114], [-74.011059, 40.727681], [-74.011298, 40.727695]]",LineString
42,Ok,2768,792.6,"[[-73.998542, 40.713096], [-73.998389, 40.713249], [-73.998806, 40.713451], [-74.000873, 40.713066], [-74.002435, 40.712636], [-74.00439, 40.71156], [-74.003624, 40.710952], [-74.003804, 40.710609], [-74.006836, 40.707855], [-74.005951, 40.707205], [-74.006724, 40.706781], [-74.00838, 40.705144], [-74.010637, 40.70371], [-74.011583, 40.703519], [-74.011509, 40.702969], [-74.01293, 40.70241], [-74.012981, 40.702265], [-74.013922, 40.702249], [-74.014618, 40.702694], [-74.014775, 40.703145], [-74.014668, 40.70409], [-74.014964, 40.704502], [-74.01566, 40.704637], [-74.017051, 40.704656], [-74.016727, 40.705682]]",LineString
