id,region_id,name,lat,lon,capacity
309,71.0,Murray St & West St,40.7149787,-74.013012,41
310,71.0,State St & Smith St,40.68926942,-73.98912867,36
311,71.0,Norfolk St & Broome St,40.7172274,-73.98802084,31
312,71.0,Allen St & Stanton St,40.722055,-73.989111,31
313,71.0,Washington Ave & Park Ave,40.69610226,-73.96751037,23
314,71.0,Cadman Plaza West & Montague St,40.69383,-73.990539,39
315,71.0,South St & Gouverneur Ln,40.70355377,-74.00670227,29
316,71.0,Fulton St & William St,40.70955958,-74.00653609,43
317,71.0,E 6 St & Avenue B,40.72453734,-73.98185424,27
319,71.0,Fulton St & Broadway,40.711066,-74.009447,33
320,71.0,Leonard St & Church St,40.717571,-74.005549,27
321,71.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,27
