id,latitude,longitude,availabledocks,stationname,statuskey,statusvalue,totaldocks
443,40.70853074,-73.96408963,21,Bedford Ave & S 9 St,1,In Service,23
445,40.72740794,-73.98142006,17,E 10 St & Avenue A,1,In Service,52
446,40.74487634,-73.99529885,38,W 24 St & 7 Ave,1,In Service,39
447,40.76370739,-73.9851615,20,8 Ave & W 52 St,1,In Service,23
448,40.75660359,-73.9979009,19,W 37 St & 10 Ave,1,In Service,31
450,40.76227205,-73.98788205,57,W 49 St & 8 Ave,1,In Service,59
453,40.74475148,-73.99915362,27,W 22 St & 8 Ave,1,In Service,39
454,40.75455731,-73.96592976,24,E 51 St & 1 Ave,1,In Service,35
455,40.75001986,-73.96905301,26,1 Ave & E 44 St,1,In Service,39
456,40.75971079999999,-73.97402311,27,E 53 St & Madison Ave,1,In Service,35
457,40.76695317,-73.98169333,31,Broadway & W 58 St,1,In Service,39
458,40.751396,-74.00522600000001,21,11 Ave & W 27 St,1,In Service,31
459,40.746745000000004,-74.007756,24,W 20 St & 11 Ave,1,In Service,49
460,40.71285887,-73.96590294,17,S 4 St & Wythe Ave,1,In Service,23
461,40.73587678,-73.98205027,31,E 20 St & 2 Ave,1,In Service,39
462,40.74691959,-74.00451887,43,W 22 St & 10 Ave,1,In Service,47
465,40.75513557,-73.98658032,23,Broadway & W 41 St,1,In Service,39
466,40.74395411,-73.99144871,34,W 25 St & 6 Ave,1,In Service,35
467,40.68312489,-73.97895137,29,Dean St & 4 Ave,1,In Service,34
468,40.7652654,-73.98192338,42,Broadway & W 56 St,1,In Service,49
469,40.76344058,-73.98268129,56,Broadway & W 53 St,1,In Service,57
470,40.74345335,-74.00004031,37,W 20 St & 8 Ave,1,In Service,38
471,40.71286844,-73.95698119,26,Grand St & Havemeyer St,1,In Service,31
472,40.745712100000006,-73.98194829,40,E 32 St & Park Ave,1,In Service,41
473,40.72110063,-73.99192540000001,23,Rivington St & Chrystie St,1,In Service,38
474,40.7451677,-73.98683077,0,5 Ave & E 29 St,3,Not In Service,0
476,40.74394314,-73.97966069,31,E 31 St & 3 Ave,1,In Service,47
477,40.75640548,-73.9900262,21,W 41 St & 8 Ave,1,In Service,59
478,40.76030096,-73.99884222,14,11 Ave & W 41 St,1,In Service,31
479,40.76019252,-73.9912551,30,9 Ave & W 45 St,1,In Service,31
480,40.76669671,-73.99061728,7,W 53 St & 10 Ave,1,In Service,27
481,40.71260486,-73.96264403,16,S 3 St & Bedford Ave,1,In Service,25
482,40.73935542,-73.99931783,35,W 15 St & 7 Ave,1,In Service,39
483,40.73223272,-73.98889957,31,E 12 St & 3 Ave,1,In Service,35
484,40.75500254,-73.98014437,34,W 44 St & 5 Ave,1,In Service,44
485,40.75038009,-73.98338988,39,W 37 St & 5 Ave,3,Not In Service,39
486,40.7462009,-73.98855723,33,Broadway & W 29 St,1,In Service,39
487,40.73314259,-73.97573881,27,E 20 St & FDR Drive,1,In Service,34
490,40.751551,-73.993934,53,8 Ave & W 33 St,1,In Service,59
491,40.74096374,-73.98602213,41,E 24 St & Park Ave S,1,In Service,51
492,40.75019995,-73.99093085,48,W 33 St & 7 Ave,1,In Service,61
493,40.7568001,-73.98291153,31,W 45 St & 6 Ave,1,In Service,34
494,40.74734825,-73.99723551,17,W 26 St & 8 Ave,1,In Service,35
495,40.76269882,-73.99301222,17,W 47 St & 10 Ave,1,In Service,25
496,40.73726186,-73.99238967,46,E 16 St & 5 Ave,1,In Service,47
497,40.73704984,-73.99009296,48,E 17 St & Broadway,1,In Service,59
498,40.74854862,-73.98808416,30,Broadway & W 32 St,1,In Service,30
499,40.76915505,-73.98191841,14,Broadway & W 60 St,1,In Service,36
500,40.76228826,-73.98336183,49,Broadway & W 51 St,1,In Service,52
501,40.744219,-73.97121214,36,FDR Drive & E 35 St,1,In Service,43
502,40.714215,-73.981346,19,Henry St & Grand St,1,In Service,30
503,40.73827428,-73.98751968,24,E 20 St & Park Ave,1,In Service,29
504,40.73221853,-73.98165557,38,1 Ave & E 16 St,1,In Service,44
505,40.74901271,-73.98848395,32,6 Ave & W 33 St,1,In Service,36
507,40.73912601,-73.97973776,36,E 25 St & 2 Ave,1,In Service,45
508,40.76341379,-73.99667444,21,W 46 St & 11 Ave,1,In Service,24
509,40.7454973,-74.00197139,18,9 Ave & W 22 St,1,In Service,36
513,40.768254,-73.988639,17,W 56 St & 10 Ave,1,In Service,27
514,40.76087502,-74.00277668,11,12 Ave & W 40 St,1,In Service,52
515,40.76009437,-73.99461843,17,W 43 St & 10 Ave,1,In Service,35
516,40.75206862,-73.96784384,16,E 47 St & 1 Ave,1,In Service,31
517,40.751581,-73.97791,55,Pershing Square South,1,In Service,59
518,40.74780373,-73.97344190000001,38,E 39 St & 2 Ave,1,In Service,39
519,40.751872999999996,-73.97770600000001,35,Pershing Square North,1,In Service,61
520,40.75992262,-73.97648516,35,W 52 St & 5 Ave,1,In Service,39
522,40.75714758,-73.97207836,42,E 51 St & Lexington Ave,1,In Service,51
523,40.75466591,-73.99138152,43,W 38 St & 8 Ave,1,In Service,51
524,40.75527307,-73.98316936,54,W 43 St & 6 Ave,1,In Service,57
525,40.75594159,-74.0021163,15,W 34 St & 11 Ave,1,In Service,39
526,40.74765947,-73.98490707,35,E 33 St & 5 Ave,1,In Service,39
528,40.74290902,-73.97706058,34,2 Ave & E 31 St,1,In Service,39
529,40.75756989999999,-73.99098507,14,W 42 St & 8 Ave,1,In Service,41
530,40.771522,-73.99054100000001,4,11 Ave & W 59 St,1,In Service,24
531,40.71893904,-73.99266288,28,Forsyth St & Broome St,1,In Service,39
532,40.710451,-73.960876,38,S 5 Pl & S 5 St,1,In Service,43
533,40.75299641,-73.98721619,43,Broadway & W 38 St,1,In Service,46
534,40.70255065,-74.0127234,18,Water - Whitehall Plaza,1,In Service,31
536,40.74144387,-73.97536082,10,1 Ave & E 30 St,1,In Service,29
537,40.74025878,-73.98409214,21,Lexington Ave & E 24 St,3,Not In Service,21
539,40.71534825,-73.96024116,7,Metropolitan Ave & Bedford Ave,1,In Service,31
540,40.743115553764895,-73.9821535348892,26,Lexington Ave & E 29 St,1,In Service,30
545,40.736502,-73.97809472,21,E 23 St & 1 Ave,1,In Service,27
546,40.74444921,-73.98303529,33,E 30 St & Park Ave S,1,In Service,38
2000,40.70255088,-73.98940236,5,Front St & Washington St,1,In Service,30
2001,40.699773,-73.979927,0,Sands St & Navy St,3,Not In Service,0
2002,40.716887,-73.96319799999999,13,Wythe Ave & Metropolitan Ave,1,In Service,27
2003,40.733812191966294,-73.9805442094803,27,1 Ave & E 18 St,1,In Service,39
2005,40.70531194,-73.97100056,7,Railroad Ave & Kay Ave,1,In Service,12
2006,40.76590936,-73.97634151,9,Central Park S & 6 Ave,1,In Service,49
2008,40.70569254,-74.01677685,20,Little West St & 1 Pl,1,In Service,24
2009,40.71117444,-73.99682619,11,Catherine St & Monroe St,1,In Service,35
2010,40.72165481,-74.00234737,33,Grand St & Greene St,1,In Service,39
2012,40.739445,-73.97680600000001,29,E 27 St & 1 Ave,1,In Service,36
2021,40.75929124,-73.98859651,41,W 45 St & 8 Ave,1,In Service,43
2022,40.759107,-73.959223,27,E 60 St & York Ave,1,In Service,33
2023,40.75968085,-73.97031366,34,E 55 St & Lexington Ave,1,In Service,36
3002,40.711512,-74.01575600000001,11,South End Ave & Liberty St,1,In Service,25
3016,40.7203677529846,-73.96165072917941,26,Kent Ave & N 7 St,1,In Service,47
3041,40.67890679,-73.94142771,19,Kingston Ave & Herkimer St,1,In Service,24
3042,40.6794268,-73.92989109999999,16,Fulton St & Utica Ave,1,In Service,19
3043,40.6814598,-73.934903,19,Lewis Ave & Decatur St,1,In Service,19
3044,40.6800105,-73.938475,25,Albany Ave & Fulton St,1,In Service,27
3046,40.682601,-73.938037,14,Marcus Garvey Blvd & Macon St,1,In Service,19
3047,40.682368700000005,-73.944118,13,Halsey St & Tompkins Ave,1,In Service,21
3048,40.684020000000004,-73.94977,10,Putnam Ave & Nostrand Ave,1,In Service,19
3049,40.68488,-73.96304,14,Cambridge Pl & Gates Ave,1,In Service,18
3050,40.6851532,-73.94111,17,Putnam Ave & Throop Ave,1,In Service,21
3052,40.686312,-73.935775,11,Lewis Ave & Madison St,1,In Service,23
3053,40.6900815,-73.94791500000001,18,Marcy Ave & Lafayette Ave,1,In Service,23
3054,40.6894932,-73.942061,12,Greene Ave & Throop Ave,1,In Service,19
3055,40.68833370000001,-73.950916,19,Greene Ave & Nostrand Ave,1,In Service,23
3056,40.69072549,-73.95133465,19,Kosciuszko St & Nostrand Ave,1,In Service,23
3057,40.69128258,-73.9452416,18,Kosciuszko St & Tompkins Ave,1,In Service,18
3058,40.69237074,-73.93705428,12,Lewis Ave & Kosciuszko St,1,In Service,24
3059,40.693398200000004,-73.939877,10,Pulaski St & Marcus Garvey Blvd,1,In Service,19
3060,40.69425403,-73.94626915,17,Willoughby Ave & Tompkins Ave,1,In Service,19
3061,40.69622937,-73.94371094,17,Throop Ave & Myrtle Ave,1,In Service,21
3062,40.69539817,-73.94954908,19,Myrtle Ave & Marcy Ave,1,In Service,23
3063,40.69527008,-73.95238108,7,Nostrand Ave & Myrtle Ave,1,In Service,20
3064,40.69681963,-73.93756926,20,Myrtle Ave & Lewis Ave,1,In Service,23
3065,40.70029511,-73.95032283,26,Union Ave & Wallabout St,1,In Service,27
3066,40.69957608,-73.94708417,17,Tompkins Ave & Hopkins St,1,In Service,19
3067,40.7016657,-73.9437303,24,Broadway & Whipple St,1,In Service,27
3068,40.7031724,-73.940636,6,Humboldt St & Varet St,1,In Service,24
3069,40.70411791,-73.94818595,23,Lorimer St & Broadway,1,In Service,25
3070,40.70510918,-73.94407279,15,McKibbin St & Manhattan Ave,1,In Service,23
3071,40.70538077,-73.94976519,17,Boerum St & Broadway,1,In Service,19
3072,40.70583339,-73.94644578,17,Leonard St & Boerum St,1,In Service,24
3073,40.70691254,-73.95441667,0,Division Ave & Hooper St,3,Not In Service,0
3074,40.70767788,-73.94016171,19,Montrose Ave & Bushwick Ave,1,In Service,31
3075,40.70708701,-73.95796783,32,Division Ave & Marcy Ave,1,In Service,33
3076,40.70870368,-73.9448625,21,Scholes St & Manhattan Ave,1,In Service,24
3077,40.70877084,-73.95095259,28,Stagg St & Union Ave,1,In Service,33
3078,40.709248262761605,-73.96063148975371,24,Broadway & Roebling St,1,In Service,27
3080,40.709340000000005,-73.95608,15,S 4 St & Rodney St,1,In Service,21
3081,40.711863,-73.944024,14,Graham Ave & Grand St,1,In Service,23
3082,40.71167351,-73.95141312,25,Hope St & Union Ave,1,In Service,25
3083,40.71247661,-73.94100005,29,Bushwick Ave & Powers St,1,In Service,30
3085,40.714690000000004,-73.95739,0,Roebling St & N 4 St,3,Not In Service,0
3086,40.715143,-73.944507,8,Graham Ave & Conselyea St,1,In Service,25
3087,40.71413311,-73.95234386,27,Metropolitan Ave & Meeker Ave,1,In Service,30
3088,40.7160751,-73.95202900000001,18,Union Ave & Jackson St,1,In Service,19
3090,40.71774592,-73.95600096,24,N 8 St & Driggs Ave,1,In Service,31
3091,40.71764,-73.94882,31,Frost St & Meeker St,1,In Service,31
3092,40.7190095,-73.95852515,25,Berry St & N 8 St,1,In Service,27
3093,40.71745169,-73.95850939,19,N 6 St & Bedford Ave,1,In Service,28
3094,40.7169811,-73.94485918,18,Graham Ave & Withers St,1,In Service,18
3095,40.71929301,-73.94500379,19,Graham Ave & Herbert St,1,In Service,23
3096,40.71924,-73.95241999999999,27,Union Ave & N 12 St,1,In Service,39
3100,40.7248125644002,-73.947526216507,33,Nassau Ave & Newell St,1,In Service,39
3101,40.72079821,-73.95484712,26,N 12 St & Bedford Ave,1,In Service,27
3102,40.72179134,-73.95041540000001,27,Driggs Ave & Lorimer St,1,In Service,27
3105,40.724055,-73.955736,22,N 15 St & Wythe Ave,1,In Service,24
3106,40.72325,-73.94308000000001,16,Driggs Ave & N Henry St,1,In Service,19
3107,40.72311651,-73.95212324,39,Bedford Ave & Nassau Ave,1,In Service,39
3108,40.725570000000005,-73.94434,16,Nassau Ave & Russell St,1,In Service,24
3109,40.72606,-73.95621,28,Banker St & Meserole Ave,1,In Service,31
3110,40.72708584,-73.95299117,27,Meserole Ave & Manhattan Ave,1,In Service,27
3112,40.72906,-73.95779,29,Milton St & Franklin St,1,In Service,33
3113,40.730259999999994,-73.95394,13,Greenpoint Ave & Manhattan Ave,1,In Service,26
